,source,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5262,city scrape,2.0,2.0,1.0,1.0,2.0,500.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,0,0,14,194,2.0,2.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.46
5263,previous scrape,82.0,1.0,1.0,1.0,1.0,374.0,14.8,180.0,14.3,16.0,180.0,180.0,15.2,180.0,8,8,8,41,0.0,0.0,0.0,4.0,4.0,79.0,9.0,70.0,0.0,0.11
5264,city scrape,82.0,2.0,1.0,1.0,1.0,374.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.0,4.0,79.0,9.0,70.0,0.0,0.11
5265,previous scrape,82.0,2.0,1.0,1.0,1.0,442.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.0,4.0,79.0,9.0,70.0,0.0,0.11
5266,city scrape,82.0,2.0,1.0,1.0,1.0,442.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.0,4.0,79.0,9.0,70.0,0.0,0.11
5267,previous scrape,82.0,2.0,1.0,1.0,1.0,476.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.0,4.0,79.0,9.0,70.0,0.0,0.11
5268,previous scrape,82.0,1.0,1.0,1.0,1.0,476.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,1.0,1.0,0.0,4.0,4.0,79.0,9.0,70.0,0.0,0.11
5269,city scrape,82.0,2.0,1.0,1.0,1.0,476.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,5.0,5.0,79.0,9.0,70.0,0.0,0.11
5270,city scrape,82.0,1.0,1.0,1.0,1.0,374.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,1.0,1.0,0.0,5.0,5.0,79.0,9.0,70.0,0.0,0.11
5271,city scrape,82.0,2.0,1.0,1.0,1.0,510.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5272,previous scrape,82.0,2.0,1.0,1.0,1.0,618.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5273,city scrape,7.0,3.0,1.0,1.0,1.0,618.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,0,0,0,80,0.0,0.0,0.0,4.78,4.56,7.0,0.0,7.0,0.0,1.0
5274,previous scrape,82.0,2.0,1.0,1.0,1.0,408.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5275,previous scrape,82.0,2.0,1.0,1.0,1.0,408.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,9,9,9,42,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5276,city scrape,82.0,2.0,1.0,1.0,1.0,408.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5277,city scrape,82.0,2.0,1.0,1.0,1.0,408.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5278,previous scrape,82.0,2.0,1.0,1.0,2.0,1300.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5279,previous scrape,82.0,2.0,1.0,1.0,2.0,1300.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.78,4.56,79.0,9.0,70.0,0.0,1.0
5280,city scrape,1.0,4.0,1.0,1.0,2.0,1300.0,2.0,365.0,1.0,2.0,365.0,365.0,2.0,365.0,7,7,7,7,9.0,0.8,0.0,4.78,4.56,1.0,1.0,0.0,0.0,1.0
